videoPlayCount,url,hashtags,videoViewCount,videoDuration,commentsCount,mentions,caption,timestamp,num_mentions,topic
,https://www.instagram.com/p/DKEQoS1sqln/,,,,0,,A dreamy colour palette for beach days and long summer nights,5/25/2025,0,"""Seasonal Style"""
81459.0,https://www.instagram.com/p/DJ8szmGNMQf/,,0.0,20.736,9,sofynicoledobson,5 fits to save for walking into the bank holiday in style ️ @sofynicoledobson,5/22/2025,1,"""Style Finds"""
,https://www.instagram.com/p/DKKKQxWxNHf/,,,,1,,Think lobster print and fish tees...this could be our favourite trend for summer 2025 so far,5/27/2025,0,"""Seasonal Style"""
92517.0,https://www.instagram.com/p/DJ_YYMAtMqP/,,0.0,27.539,8,meganellaby,3 bump-friendly holiday fits for your next getaway  @meganellaby,5/23/2025,1,"""Seasonal Style"""
76849.0,https://www.instagram.com/p/DKMH5zhNWlj/,,0.0,10.3,10,keziacook,4 go-to city girl styles to save for when the sunshine makes its comeback  @keziacook,5/28/2025,1,"""Seasonal Style"""
,https://www.instagram.com/p/DJ1Aq5IsKi8/,,,,2,,We heard bubble hems were making a comeback...,5/19/2025,0,"""Everyday Style"""
75217.0,https://www.instagram.com/p/DKJmryGtcMU/,,0.0,18.1,10,ooliviamiller,"Come rain or shine, a signature bag and sandals combo is giving us all the summer vibes this bank holiday ✨ @ooliviamiller",5/27/2025,1,"""Style Finds"""
,https://www.instagram.com/p/DJvxJ51t7iB/,,,,6,inesisaias,THE dress for your city break strolls this summer  @inesisaias,5/17/2025,1,"""Seasonal Style"""
,https://www.instagram.com/p/DKByqwBvley/,,,,4,,PSA: we've just found the ultimate occasion dress ✨,5/24/2025,0,"""Seasonal Style"""
,https://www.instagram.com/p/DJ59bZVMJLA/,,,,1,,Laid-back looks you’ll live in all summer long ✨,5/21/2025,0,"""Everyday Style"""
69247.0,https://www.instagram.com/p/DJoGjYENbUp/,,0.0,12.793,20,missjamiefirth,Linen season is upon us and we couldn’t be more excited  @missjamiefirth,5/14/2025,1,"""Seasonal Style"""
,https://www.instagram.com/p/DJdvnvluXKa/,,,,11,,Nothing beats putting on your best holiday outfit after a day in the sunshine,5/10/2025,0,"""Seasonal Style"""
117880.0,https://www.instagram.com/p/DJtR7OTAmFw/,,0.0,27.5,23,yasmindevonport,5 looks to inspire your spring wardrobe ✨ which outfit is your favourite? @yasmindevonport,5/16/2025,1,"""Seasonal Style"""
,https://www.instagram.com/p/DJld7oIMf0m/,,,,7,,Is there anything more chic than a lace satin skirt? We'll wait...,5/13/2025,0,"""Seasonal Style"""
,https://www.instagram.com/p/DJqgss4AekN/,,,,3,,PSA: your new go-to jorts just dropped,5/15/2025,0,"""Everyday Style"""
,https://www.instagram.com/p/DJboLBiR8nU/,,,,3,,No matter the occasion...your perfect outfit awaits,5/9/2025,0,"""Seasonal Style"""
52159.0,https://www.instagram.com/p/DJi_0JPNtCW/,,0.0,10.588,2,,Be the event this season with occasionwear that turns heads ✨,5/12/2025,0,"""Seasonal Style"""
,https://www.instagram.com/p/DJgURaWNXfi/,,,,4,aanishagurung_,The dreamiest butter yellow dress for soaking up the spring sunshine ✨ @aanishagurung_,5/11/2025,1,"""Seasonal Style"""
100815.0,https://www.instagram.com/p/DJW9ODktYUB/,,0.0,10.6,10,whatgigiwears,Showing up in style this season…no matter the RSVP  @whatgigiwears,5/7/2025,1,"""Seasonal Style"""
,https://www.instagram.com/p/DJUPqP3Mndx/,nextman,,,10,mothecomedian,3 suits for your summer RSVP’s. @mothecomedian has got you . #nextman,5/6/2025,1,"""Seasonal Style"""
212703.0,https://www.instagram.com/p/DJQ7SIUgP9p/,,53348.0,35.829,142,sofynicoledobson,Which wedding guest outfit should @sofynicoledobson choose!? ️,5/5/2025,1,"""Seasonal Style"""
133741.0,https://www.instagram.com/p/DJ3kkcItIQ9/,,0.0,12.281,48,chloemaycraig,Warning: May cause spontaneous squealing  @chloemaycraig,5/20/2025,1,"""Everyday Style"""
,https://www.instagram.com/p/DJO8B50sao1/,nextkids,,,18,,"Dressed in sunshine, matching with their besties...☀️ #nextkids",5/4/2025,0,"""Seasonal Style"""
141998.0,https://www.instagram.com/p/DJydViKgOfV/,,0.0,15.371,23,katherine_bondd,6 chic outfits for a sunny summer in the city ✨ @katherine_bondd,5/18/2025,1,"""Seasonal Style"""
211320.0,https://www.instagram.com/p/DJBh7VVAgoV/,nextwomens,63914.0,12.446,55,missy_elz,8 summer fits for however you choose to vacay  @missy_elz  #nextwomens,4/29/2025,1,"""Seasonal Style"""
95450.0,https://www.instagram.com/p/DI_ZpDgtAlV/,nextwomens,22909.0,15.166,19,oliviaandalice,Celebrating the start of a sunny week with loud prints and bold pops of colour  @oliviaandalice  #nextwomens,4/28/2025,1,"""Seasonal Style"""
272167.0,https://www.instagram.com/p/DJOaERTgCfp/,nextwomens,83854.0,13.468,15,_meaganwells,That feeling of finally wearing the outfit you’ve been saving for your holiday  @_meaganwells  #nextwomens,5/4/2025,1,"""Seasonal Style"""
,https://www.instagram.com/p/DJJJQxpOSgC/,nextwomens,,,9,,The chicest way to bring the outdoors in this spring... #nextwomens,5/2/2025,0,"""Seasonal Style"""
